uf,ano,valor,regiao
Mato Grosso do Sul,2016,63.55,Centro-Oeste
Mato Grosso,2016,58.32,Centro-Oeste
Goiás,2016,53.6,Centro-Oeste
Distrito Federal,2016,75.28,Centro-Oeste
Rondônia,2017,80.74,Norte
Acre,2017,62.18,Norte
Amazonas,2017,65.33,Norte
Roraima,2017,74.26,Norte
Pará,2017,57.6,Norte
Amapá,2017,58.66,Norte
Tocantins,2017,81.7,Norte
Maranhão,2017,60.87,Nordeste
Piauí,2017,67.25,Nordeste
Ceará,2017,73.67,Nordeste
Rio Grande do Norte,2017,53.69,Nordeste
Paraíba,2017,66.15,Nordeste
Pernambuco,2017,65.2,Nordeste
Alagoas,2017,65.01,Nordeste
Sergipe,2017,63.49,Nordeste
Bahia,2017,63.11,Nordeste
Minas Gerais,2017,80.42,Sudeste
Espírito Santo,2017,66.35,Sudeste
Rio de Janeiro,2017,67.04,Sudeste
São Paulo,2017,67.29,Sudeste
Paraná,2017,77.66,Sul
Santa Catarina,2017,75.82,Sul
Rio Grande do Sul,2017,72.54,Sul
Mato Grosso do Sul,2017,78.81,Centro-Oeste
Mato Grosso,2017,74.28,Centro-Oeste
Goiás,2017,73.25,Centro-Oeste
Distrito Federal,2017,73.82,Centro-Oeste
Rondônia,2018,82.45,Norte
Acre,2018,67.44,Norte
Amazonas,2018,69.82,Norte
Roraima,2018,78.76,Norte
Pará,2018,57.44,Norte
Amapá,2018,63.32,Norte
Tocantins,2018,82.32,Norte
Maranhão,2018,64.51,Nordeste
Piauí,2018,70.8,Nordeste
Ceará,2018,77.37,Nordeste
Rio Grande do Norte,2018,67.54,Nordeste
Paraíba,2018,69.43,Nordeste
Pernambuco,2018,70.43,Nordeste
Alagoas,2018,70.79,Nordeste
Sergipe,2018,68.76,Nordeste
Bahia,2018,63.5,Nordeste
Minas Gerais,2018,85.42,Sudeste
Espírito Santo,2018,74.22,Sudeste
Rio de Janeiro,2018,61.37,Sudeste
São Paulo,2018,71.52,Sudeste
Paraná,2018,81.79,Sul
Santa Catarina,2018,82.43,Sul
Rio Grande do Sul,2018,74.94,Sul
Mato Grosso do Sul,2018,83.52,Centro-Oeste
Mato Grosso,2018,76.7,Centro-Oeste
Goiás,2018,71.85,Centro-Oeste
Distrito Federal,2018,73.85,Centro-Oeste
Rondônia,2019,51.44,Norte
Acre,2019,45.44,Norte
Amazonas,2019,49.97,Norte
Roraima,2019,48.04,Norte
Pará,2019,37.53,Norte
Amapá,2019,44.02,Norte
Tocantins,2019,57.59,Norte
Maranhão,2019,40.05,Nordeste
Piauí,2019,44.88,Nordeste
Ceará,2019,47.53,Nordeste
Rio Grande do Norte,2019,38.1,Nordeste
Paraíba,2019,43.87,Nordeste
Pernambuco,2019,44.91,Nordeste
Alagoas,2019,44.26,Nordeste
Sergipe,2019,46.21,Nordeste
Bahia,2019,38.68,Nordeste
Minas Gerais,2019,53.43,Sudeste
Espírito Santo,2019,48.72,Sudeste
Rio de Janeiro,2019,25.99,Sudeste
São Paulo,2019,46.18,Sudeste
Paraná,2019,58.11,Sul
Santa Catarina,2019,60.59,Sul
Rio Grande do Sul,2019,51.65,Sul
Mato Grosso do Sul,2019,52.21,Centro-Oeste
Mato Grosso,2019,46.38,Centro-Oeste
Goiás,2019,47.04,Centro-Oeste
Distrito Federal,2019,49.58,Centro-Oeste
